City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Vallenar,CL,-28.5708,-70.7581,54.91,80,27,1.95,scattered clouds
80,Hilo,US,19.7297,-155.09,79.29,89,100,9.22,light rain
81,Barcelona,ES,41.3888,2.159,87.01,64,20,3.44,few clouds
82,Severo-Kurilsk,RU,50.6789,156.125,51.44,96,100,16.28,overcast clouds
83,Tuktoyaktuk,CA,69.4541,-133.0374,38.71,87,10,6.58,clear sky
84,Komsomolskiy,UZ,40.4272,71.7189,102.92,11,0,9.22,clear sky
85,Touros,BR,-5.1989,-35.4608,71.35,85,5,16.37,clear sky
86,Sfantu Gheorghe,RO,45.8667,25.7833,81.86,47,36,1.99,scattered clouds
87,Georgetown,MY,5.4112,100.3354,87.75,70,40,10.36,scattered clouds
88,Avarua,CK,-21.2078,-159.775,68.05,68,40,5.75,scattered clouds
89,Chokurdakh,RU,70.6333,147.9167,71.51,31,60,12.24,broken clouds
90,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,68.22,47,0,5.68,clear sky
91,Novobohdanivka,UA,47.0819,35.3272,77.68,43,100,13.91,overcast clouds
92,Yenotayevka,RU,47.2456,47.0281,77.45,50,12,10.69,few clouds
93,Cidreira,BR,-30.1811,-50.2056,62.29,92,89,4.32,overcast clouds
94,Strezhevoy,RU,60.7333,77.5889,72.77,41,2,7.27,clear sky
95,Verkhoyansk,RU,67.5447,133.385,79.48,38,1,2.66,clear sky
96,San Patricio,US,28.017,-97.5169,84.88,81,0,10.96,clear sky
97,Richards Bay,ZA,-28.783,32.0377,63.86,50,94,16.17,overcast clouds
98,Cherskiy,RU,68.75,161.3,59.86,45,3,12.86,clear sky
99,Jamestown,US,42.097,-79.2353,71.24,84,100,4.61,overcast clouds
100,Nuuk,GL,64.1835,-51.7216,38.01,100,100,4.61,light snow
101,Soyo,AO,-6.1349,12.3689,73.18,79,99,1.16,overcast clouds
102,Ceres,US,37.5949,-120.9577,74.05,53,0,5.75,clear sky
103,Puerto Madero,MX,14.7208,-92.4215,77.49,78,22,3.91,few clouds
104,Mount Gambier,AU,-37.8333,140.7667,49.51,89,98,14.34,overcast clouds
105,Swan Hill,AU,-35.3378,143.5544,56.41,73,34,8.23,scattered clouds
106,Qaanaaq,GL,77.484,-69.3632,38.68,92,99,5.17,overcast clouds
107,Mahibadhoo,MV,3.7833,72.9667,82.71,71,14,10.69,few clouds
108,Harda,IN,22.3333,77.1,78.85,85,100,9.73,overcast clouds
109,Port Blair,IN,11.6667,92.75,86.04,74,40,9.22,scattered clouds
110,Baker City,US,44.7749,-117.8344,66.65,63,0,3.44,clear sky
111,Igarka,RU,67.4667,86.5833,66.02,52,100,24.25,overcast clouds
112,Guadalupe Y Calvo,MX,26.1,-106.9667,52.0,94,24,4.63,few clouds
113,Anadyr,RU,64.75,177.4833,54.1,58,20,2.24,few clouds
114,Mufulira,ZM,-12.5498,28.2407,71.83,37,36,9.46,scattered clouds
115,Pemangkat,ID,1.1667,108.9667,83.44,76,97,4.79,light rain
116,Castro,BR,-24.7911,-50.0119,54.82,76,100,2.01,overcast clouds
117,Chuy,UY,-33.6971,-53.4616,58.68,97,100,3.38,heavy intensity rain
118,Provideniya,RU,64.3833,-173.3,43.5,87,100,7.58,overcast clouds
119,Yellowknife,CA,62.456,-114.3525,57.72,94,75,9.22,light intensity shower rain
120,Hermanus,ZA,-34.4187,19.2345,57.79,61,0,10.8,clear sky
121,Barrow,US,71.2906,-156.7887,41.02,87,100,11.5,overcast clouds
122,Saskylakh,RU,71.9167,114.0833,78.98,39,100,10.38,overcast clouds
123,Nara,JP,34.6851,135.8049,95.92,51,40,5.3,scattered clouds
124,Saint-Philippe,RE,-21.3585,55.7679,76.59,70,23,9.75,few clouds
